Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"22/05/2023 20:36:42",48.147,37.891,7,0.65,"MW",4.9,"Khalkhal, Erdebil (İran)",585856
"22/05/2023 19:42:58",36.269,37.876,7,0.42,"MW",4.5,"Saimbeyli (Adana)",585840
"22/05/2023 19:06:58",36.302,37.932,7,0.49,"MW",4.7,"Göksun (Kahramanmaraş)",585839
"21/05/2023 23:16:22",36.223,37.881,7,0.42,"MW",4,"Saimbeyli (Adana)",585656
"21/05/2023 15:46:13",36.237,37.889,6.67,0.39,"MW",4.9,"Saimbeyli (Adana)",585555
"21/05/2023 07:36:08",24.882,35.075,7.59,0.88,"MW",4.1,"Ege Denizi, Girit Adası (Kriti) - [293.13 km] Datça (Muğla)",585515
"20/05/2023 03:48:18",25.098,35.377,7.16,0.97,"MW",4.5,"Ege Denizi",585284
"19/05/2023 11:23:36",37.872,38.312,12.56,0.55,"MW",4.1,"Akçadağ (Malatya)",585121
"18/05/2023 21:58:52",24.859,35.103,9.07,0.88,"MW",5.1,"Ege Denizi, Girit Adası (Kriti) - [292.86 km] Datça (Muğla)",585035
"17/05/2023 22:55:58",24.976,35.164,7.59,0.92,"MW",4.3,"Ege Denizi, Girit Adası (Kriti) - [280.25 km] Datça (Muğla)",584800
"13/05/2023 22:54:45",38.587,38.151,7.47,0.24,"MW",4,"Battalgazi (Malatya)",583761
"12/05/2023 11:36:24",36.222,37.839,7.02,0.56,"MW",4.3,"Saimbeyli (Adana)",583323
"12/05/2023 11:33:21",36.254,37.874,7,0.35,"ML",4.5,"Saimbeyli (Adana)",583319
"11/05/2023 17:57:04",36.589,38.066,11.56,0.39,"MW",4,"Göksun (Kahramanmaraş)",583157
"10/05/2023 02:14:49",33.057,39.109,7.86,0.36,"MW",4.2,"Kulu (Konya)",582706
"09/05/2023 18:22:06",28.843,36.487,7,0.31,"MW",4,"Akdeniz - [23.89 km] Dalaman (Muğla)",582598
"09/05/2023 06:52:15",37.754,34.88,12.66,0.7,"MW",4.4,"Palmyra, Humus (Suriye) - [178.54 km] Altınözü (Hatay)",582456
"08/05/2023 23:20:33",38.403,38.095,8.64,0.27,"MW",4.6,"Çelikhan (Adıyaman)",582396
"08/05/2023 12:24:53",37.683,34.648,5.92,0.97,"MW",4.3,"Palmyra, Humus (Suriye) - [192.58 km] Altınözü (Hatay)",582306
"07/05/2023 11:36:10",36.301,36.426,7.44,0.54,"MW",4.7,"Kırıkhan (Hatay)",582127
"06/05/2023 17:43:25",23.806,35.122,7.54,0.76,"MW",4.4,"Akdeniz",581867
"06/05/2023 15:29:25",36.588,37.836,10.17,0.43,"MW",4.1,"Onikişubat (Kahramanmaraş)",581844
"05/05/2023 17:52:28",36.333,37.977,7.55,0.49,"MW",4.6,"Göksun (Kahramanmaraş)",581604
"04/05/2023 04:50:00",26.189,40.42,18.31,0.42,"MW",4.2,"Ege Denizi - Saros Körfezi - [16.82 km] Eceabat (Çanakkale)",581073
"03/05/2023 20:22:15",36.572,38.073,6.83,0.54,"ML",4.1,"Göksun (Kahramanmaraş)",580996
"03/05/2023 20:16:38",36.569,38.069,7,0.59,"MW",5,"Göksun (Kahramanmaraş)",580995
"03/05/2023 09:20:52",35.531,37.606,13.13,0.44,"MW",4.3,"Aladağ (Adana)",580828
"02/05/2023 00:35:58",38.593,38.138,5.44,0.36,"MW",4.4,"Pütürge (Malatya)",580437
"01/05/2023 18:06:07",21.104,39.665,6.39,0.75,"MW",4.3,"Ioannina, Ipeiros (Yunanistan)",580333
"30/04/2023 16:01:26",37.835,38.314,11.07,0.28,"MW",4.3,"Akçadağ (Malatya)",579993
"29/04/2023 04:55:47",36.488,38.047,7,0.52,"MW",4.7,"Göksun (Kahramanmaraş)",579657
"28/04/2023 08:15:44",36.036,36.165,7,0.5,"MW",4.1,"Samandağ (Hatay)",579340
"27/04/2023 18:33:43",37.338,38.809,7,0.5,"MW",4.3,"Gürün (Sivas)",579151
"26/04/2023 23:00:35",26.32,36.297,54.16,0.7,"MW",5,"Ege Denizi - [110.19 km] Datça (Muğla)",578955
"26/04/2023 18:31:03",36.422,37.986,7.36,0.46,"MW",4.3,"Göksun (Kahramanmaraş)",578911
"26/04/2023 07:48:31",36.23,37.854,7,0.45,"MW",4.1,"Saimbeyli (Adana)",578757
"26/04/2023 01:14:08",37.288,38.057,7,0.6,"MW",4,"Nurhak (Kahramanmaraş)",578621
"25/04/2023 21:48:11",38.638,38.239,11.34,0.25,"MW",4,"Pütürge (Malatya)",578559
"22/04/2023 11:37:53",23.288,38.254,7.05,0.54,"MW",4.6,"Boeotia, Stereá Elláda (Yunanistan)",577615
"20/04/2023 01:44:07",39.194,38.467,11.11,0.36,"MW",4.6,"Sivrice (Elazığ)",576708
"17/04/2023 07:07:18",43.848,39.198,7,0.49,"MW",4,"Çaldıran (Van)",575616
"16/04/2023 00:51:01",37.202,37.609,7.03,0.41,"MW",4.1,"Dulkadiroğlu (Kahramanmaraş)",575275
"15/04/2023 12:37:21",36.242,37.886,7,0.36,"MW",4.2,"Saimbeyli (Adana)",575093
"15/04/2023 02:01:34",36.355,37.986,7,0.67,"MW",4,"Göksun (Kahramanmaraş)",574992
"13/04/2023 16:26:58",38.567,38.118,7,0.53,"MW",4.3,"Sincik (Adıyaman)",574582
"11/04/2023 13:30:45",44.726,39.455,7,0.63,"MW",4.3,"Maku, West Azarbaijan (İran) - [27.86 km] Doğubayazıt (Ağrı)",573636
"11/04/2023 11:17:41",36.457,37.875,10.27,0.41,"MW",4,"Göksun (Kahramanmaraş)",573598
"11/04/2023 01:45:09",37.194,37.506,7.57,0.36,"MW",4,"Dulkadiroğlu (Kahramanmaraş)",573484
"11/04/2023 01:35:39",26.298,34.738,7.23,0.7,"MW",4.2,"Akdeniz",573482
"08/04/2023 03:26:43",36.924,38.131,16.36,0.41,"MW",4.1,"Göksun (Kahramanmaraş)",572661
